"","station_id","stationname","daytype","rides","date"
"71176",40390,"Forest Park","W",2658,2019-04-19
"71177",40390,"Forest Park","A",1299,2019-04-20
"71178",40390,"Forest Park","U",1049,2019-04-21
"71179",40390,"Forest Park","W",3089,2019-04-22
"71180",40390,"Forest Park","W",3236,2019-04-23
"71181",40390,"Forest Park","W",3352,2019-04-24
"71182",40390,"Forest Park","W",3411,2019-04-25
"71183",40390,"Forest Park","W",3079,2019-04-26
"71184",40390,"Forest Park","A",1048,2019-04-27
"71185",40390,"Forest Park","U",947,2019-04-28
"71186",40390,"Forest Park","W",2966,2019-04-29
"71187",40390,"Forest Park","W",3202,2019-04-30
"75453",40390,"Forest Park","W",3307,2019-05-01
"75454",40390,"Forest Park","W",3215,2019-05-02
"75455",40390,"Forest Park","W",3190,2019-05-03
"75456",40390,"Forest Park","A",1360,2019-05-04
"75457",40390,"Forest Park","U",1098,2019-05-05
"75458",40390,"Forest Park","W",3090,2019-05-06
"75459",40390,"Forest Park","W",3313,2019-05-07
"75460",40390,"Forest Park","W",3302,2019-05-08
"75461",40390,"Forest Park","W",3260,2019-05-09
"75462",40390,"Forest Park","W",3105,2019-05-10
"75463",40390,"Forest Park","A",1281,2019-05-11
"75464",40390,"Forest Park","U",1096,2019-05-12
"75465",40390,"Forest Park","W",3013,2019-05-13
"75466",40390,"Forest Park","W",3245,2019-05-14
"75467",40390,"Forest Park","W",3258,2019-05-15
"75468",40390,"Forest Park","W",3184,2019-05-16
"75469",40390,"Forest Park","W",2911,2019-05-17
"75470",40390,"Forest Park","A",1356,2019-05-18
"75471",40390,"Forest Park","U",1017,2019-05-19
